brand,model,color,line,productGroup,baseTitle
"Kolcraft","KL029-SLA1","Slate Grey",,,"Kolcraft Cloud Plus Lightweight Stroller"
"Maxi-Cosi","TR389ETR","Violet Caspia",,,"Maxi-Cosi Zelia"
"Baby Trend","TJ94522","Millennium Blue",,,"Baby Trend Travel System"
"Summer Infant","32763","Matte Black/Pink",,,"Summer"
"Baby Trend","TS89C04B","Bluebell",,,"Baby Trend Travel System"
"Chicco","00079135720070","Black",,,
"Weber","10020","Black",,,"10020 Smokey Joe 14 Inch Portable Grill,"
"Evenflo","56022217A","Dusty Rose",,"Baby Product","Evenflo Pivot Modular Travel System with SafeMax Car Seat"
"Blackstone","1554","Black",,,"Blackstone Flat Top Gas Grill Outdoor Propane Griddle Restaurant Station Grade Professional"
"Baby Trend","TJ99106","Spartan",,"Baby Product","Baby Trend Travel System"
"BOB Gear","S12046500","Black",,,"BOB Gear Handlebar Console for Jogging Strollers"
"Baby Jogger",,,,,
"BOB Gear","U221950","Lunar Black",,,"BOB Gear Revolution Flex 3.0"
"Baby Trend","TS89B17A","Ions",,,"Baby Trend Travel System"
"Masterbuilt","MB20101114","Black",,,"Masterbuilt Universal"
"Baby Trend","JG95522","Mosiac Blue",,,"Baby Trend"
"Graco","2048727","Dayton",,,"Graco Modes Travel System"
"Graco","2112327","Spencer",,,"Graco Modes Stroller Baby with Reversible Seat Extra Storage"
"Baby Trend","TJ94312","Millennium White",,"Baby Product","Baby Trend Travel System"
"Baby Trend","TS40B66B","Sophia",,"Baby Product","Baby Trend Travel System"
"Baby Trend","TS89A81A","Diamond Geo",,,"Baby Trend Travel System"
"Baby Trend","TS40949","Hounds Tooth",,"Baby Product","Baby Trend Travel System"
"Char-Broil",,,,,"Char-Broil Performance 2-Burner Cabinet Gas Stainless"
"Graco","2114193","Norah",,,"Graco Modes Travel System Includes Baby Stroller with Reversible Seat and SnugRide 35 Infant Car"
"INFANS",,"Dark Grey",,,"INFANS Baby Newborn Stroller 2 in 1 High Landscape Convertible Reversible Bassinet Pram Foldable Aluminum Alloy Pushchair with Adjustable 3D"
"Graco","2029406","Balancing Act",,,"Graco Stroller"
"gb","619000531","Night Blue",,,"Pockit"
"Baby Trend","TS40A48A","Hello Kitty Expressions",,"Baby Product","Baby Trend Travel System"
"Graco","1935095","Coconut",,,"Graco FastAction Fold Jogger Travel System"
"Weber","44010001","Black",,,"Weber Spirit II E-210"
"Char-Broil",,"Stainless Steel",,,"Char-Broil 463377319 Performance 4-Burner Cart Style Liquid Propane Gas Grill Stainless Steel"
"Summer Infant","32923","Black/Heather Gray",,"Baby Product","Stroller Black with"
"Dream On Me","365-GRAY","Grey",,,"Dream On Me Coast Stroller Rider"
"Loulou Lollipop",,"Robins Egg Blue",,,"Loulou Lollipop Wood Silicone Pacifier Clip"
"GasOne","B-5300","Black",,,"B-5300 Burner Outdoor Propane"
"Chicco","05079224960070","Latte",,,"Chicco Bravo Trio Travel System"
"Disney","US139CJC","Pink Minnie",,,"Disney Umbrella Stroller"
"Chicco","05079761210070","Meridian",,,"Chicco Bravo Trio Travel System"
"Evenflo","19132263","Wayfarer",,,
"Chicco","04079761510070","Orion",,,"Chicco Bravo Trio Travel System"
"INFANS",,"Light White",,,"INFANS Baby Newborn Stroller 2 in 1 High Landscape Convertible Reversible Bassinet Pram Foldable Aluminum Alloy Pushchair with Adjustable 3D"
"Summer Infant","32743","Matte Black",,,"Summer"
"INFANS",,"White",,,"INFANS Baby Newborn Stroller 2 in 1 High Landscape Convertible Reversible Bassinet Pram Foldable Aluminum Alloy Pushchair with Adjustable 3D"
"Baby Trend","ST21A21A","Princeton",,,"Baby Trend Rocket Stroller"
"Baby Trend","DX60701","Baltic",,,"Baby Trend Navigator Double Jogger Stroller"
"Baby Jogger","2104206","Slate",,,"Baby Jogger City Mini GT2"
"Baby Trend","ST04D06A","Cassis",,,"Baby Trend Tango"
"gb",,"Blue",,,"Pockit"
"Graco","2113924","Hailey",,,"Graco Stroller"
"gb","618000797","Laguna Blue",,,"Pockit"
"Maxi-Cosi","TR414ETL","Nomad Grey",,,"Maxi-Cosi Zelia Max Travel System"
"Evenflo","19132343","Adventurer",,,
"Graco","2111607","Pierce",,,"Graco Modes Stroller Baby with Reversible Seat Extra Storage"
"INFANS",,"Light Grey",,,"INFANS Baby Newborn Stroller 2 in 1 High Landscape Convertible Reversible Bassinet Pram Foldable Aluminum Alloy Pushchair with Adjustable 3D"
"Disney","US136DVB1","Minnie Tuxedo",,,"Disney Umbrella Stroller"
"Baby Trend","TJ30613","Viola",,"Baby Product","Baby Trend Travel System"
"gb","616230013","Monument Black",,,"Pockit"
"gb","620000125","Desert Night",,,"Pockit"
"Kolcraft","KL029-FRR1","Fire Red",,,"Kolcraft Cloud Plus Lightweight Stroller"
"Graco","2112391","Studio",,,"Graco Stroller"
"BRITAX","U741903","Pewter",,,"Britax B-Free"
"Booyah Strollers",,"black",,,
"Baby Trend","TS04D02A","Kona",,,"Baby Trend Tango"
"Joovy","8077","Black",,,"Joovy Scooter X2 Double Stroller"
"Baby Jogger","BJ91502","Black",,,
"Thule","10101943","Majolica Blue",,,"Thule Urban Glide 2"
"Baby Jogger","2082767","Jet",,,"Baby Jogger City Mini GT2"
"Graco","2113923","Lynwood",,,"Graco Modes Travel System Includes Baby Stroller with Reversible Seat and SnugRide 35 Infant Car"
"Baby Trend","TS04D27A","Blue Mist",,,"Baby Trend Tango"
"Maxi-Cosi","TR389ETQA","Emerald Tide",,,"Maxi-Cosi Zelia"
"Baby Trend","TJ75B75B","Optic Aqua",,,"Baby Trend Travel System"
"Thule","10101923","Black on Black",,,"Thule Urban Glide 2"
"Baby Trend","WG01D15A","Ultra Marine",,,"Baby Trend Expedition Stroller Wagon PLUS"
"Baby Jogger","2084000","Black",,,
"Baby Jogger","2084012",,,,"Baby Jogger Board"
"Disney","US139BMG","Mickey",,,"Disney Umbrella Stroller"
"Baby Jogger","2083998","City Mini GT2",,,"Baby Jogger"
"Graco","2111608","Ellington",,,"Graco Modes Travel System Includes Baby Stroller with Reversible Seat and SnugRide 35 Infant Car"
"Graco","1992185","Bennett",,,"Graco FastAction Fold Travel System Stroller"
"Comfy Baby","920","Clear",,,
"Baby Trend","ST21B79A","Parakeet",,,"Baby Trend Rocket Stroller"
"Baby Trend","SS76522","Millennium Blue",,,"Baby Trend Sit Stand Double"
"UPPAbaby","0320-VIS-US-FIN/1017-MSA-US-JKE","Finn",,,"UPPAbaby Vista V2 Stroller"
"Chicco","06079659950070","Carbon",,,"Chicco Mini Bravo Travel System"
"Graco","1992723","Grayson",,,"Graco Modes Stroller"
"Baby Jogger",,"Paloma",,,"Baby Jogger City Select Stroller"
"Baby Trend","ST04C70B","Verdian",,,"Baby Trend Tango"
"Safety 1st","TR378EEJ","Lake Blue",,"Baby Product","Safety 1st Smooth Ride Travel System with onBoard 35 Infant Car Seat"
"gb","616230017","Capri Blue",,,"Pockit"
"gb","619000537","Velvet Black",,,"Pockit"
"Chicco","00079660040070","Slate",,,"Chicco Mini Bravo Travel System"
"Thule","10101948","Grey Melange",,,"Thule Urban Glide 2"
"Baby Trend","SG13105","Black",,,"Baby Trend Snap-N-Go"
"Baby Trend","TS89B00A","Leap Frog",,,"Baby Trend Travel System"
"Baby Trend","TJ30509","Seaport",,"Baby Product","Baby Trend Travel System"
"Graco","2048728","Nanette",,,"Graco Modes Travel System"
"Baby Jogger","2084014","Black",,,"Baby Jogger"
"Graco","2101050","Binx",,,"Graco Modes Jogger 2.0"
"Baby Trend","SS76B71A","Optic Green",,,"Baby Trend Sit Stand Double"
"DOONA",,"Nitro Black",,,"Liki Trike S5"
"Baby Trend","DJ86B78B","Candy Apple",,,"Baby Trend Navigator Double Jogger Stroller"
"Graco",,"Redmond",,,"Graco Fastaction Travel System"
"cynebaby",,"Fresh Grey",,,"Baby Stroller Bassinet Pram Carriage Cynebaby All Terrain Vista City Select Pushchair Compact Convertible Luxury Strollers add Foot Cover"
"Evenflo","63012255","Stallion",,,"Evenflo Pivot Xpand Stroller Second Seat"
"Graco","1964737","Holt",,,"Graco Modes Duo Stroller"
"Baby Jogger","2083654","Moonlight",,,"Baby Jogger City Select Seat Kit"
"Joovy","8147","Black",,,"JOOVY Caboose Graphite Stroller Stand On Tandem"
"UPPAbaby","0518-GLX-US-JOR","Charcoal/Silver",,,"UPPAbaby G-Luxe Stroller"
"Baby Joy",,"Gray",,,"BABY JOY Stroller 2-in-1 Convertible Bassinet Sleeping Foldable Pram Carriage with 5-Point Harness Including Rain Cover Net Cushion Pad Foot Diaper Bag"
"Keenz","KEENZ-7SBLUE","BLUE",,,"Keenz Stroller Wagon 7S Pull Push Safe and Secure Baby Big Kids Versatile Ideal for Special Needs"
"Baby Jogger","2113377","Jet",,,"Baby Jogger City Select Stroller"
"BOB Gear","U991915","Lunar",,,"BOB Gear Alterrain Jogging Stroller"
"Graco","2032497","Ellington",,,"Graco Uno2Duo Stroller"
"Babyzen",,"Blue",,,"Babyzen YOYO Color Pack"
"Baby Trend","SS27D06A","Pink",,,"Baby Trend Sit N Stand Shopper"
"Hot Mom",,"Light Grey",,,"Stroller"
"Evenflo","57112253","Roan",,,"Pivot Xpand with"
"Evenflo","56041990A","Casual Grey",,"Baby Product","Evenflo Pivot Modular Travel System with SafeMax Car Seat"
"Baby Trend","WG01D14A","Ultra Black",,,"Baby Trend Expedition Stroller Wagon PLUS"
"Dream On Me","365-PINK","Pink",,,"Dream On Me, Coast Stroller Rider, Lightweight, One hand easy fold, travel ready, Strudy, Adjustable handles, Soft ride wheels, Easy to push,"
"Graco","2113920","Ainsley",,,"Graco Modes Travel System Includes Baby Stroller with Reversible Seat and SnugRide 35 Infant Car"
"Disney","US124DBZ","All About Minnie",,,"Disney Umbrella Stroller with Canopy"
"Graco",,"Redmond",,,"Graco Modes Stroller Baby with Reversible Seat Extra Storage"
"Graco","2111213","Lanier",,,"Graco Modes Travel System Includes Baby Stroller with Reversible Seat and SnugRide 35 Infant Car"
"Maxi-Cosi","TR389EMJA","Night Black",,,"Maxi-Cosi Zelia"
"gb","618000775","Sapphire Blue",,,"Pockit"
"Champion Power Equipment","100535","Electric Start",,,"Champion Power Equipment 2-Stage Gas Snow Blower with Electric Start"
"gb","620000123","Atlantic Orange",,,"Pockit"
"Masterbuilt",,"black",,,"Masterbuilt Bluetooth Digital Electric Smoker"
"Baby Trend","TJ94044","Bubble Gum",,"Baby Product","Baby Trend Travel System"
"Evenflo","56012367","Salsa",,"Baby Product","Evenflo Pivot Modular Travel System with SafeMax Car Seat"
"Weber","741001BLK","Black",,,
"Baby Trend","TJ93B04B","Piscina",,,"Baby Trend Travel System"
"Smoak Firewood",,,,,"Smoak Firewood Cooking Wood Logs USDA Certified Kiln Dried"
"LANNEY",,"Square",,,"Pellet Smoker Tube 12 Stainless Steel BBQ Wood for Cold Hot Smoking Portable Barbecue Smoke Generator Works with Electric Gas Charcoal Grill Smokers"
"Texsport","15113","Black",,,"Texsport Heavy Duty Camp Grill"
"UPPAbaby","0320-VIS-US-JOR/1017-MSA-US-JOR","JORDAN",,,"UPPAbaby Vista V2 Stroller"
"Baby Trend","DJ86A08B","Lincoln",,,"Baby Trend Navigator Double Jogger Stroller"
"Disney","TR351CZR","Garden Delight Minnie",,,"Disney Amble Quad Travel System"
"Chicco","00079660460070","Midnight",,,"Chicco Mini Bravo Travel System"
"Baby Jogger",,"Jet",,,"Baby Jogger City Select Stroller"
"BOB Gear","U181927","Black",,,"BOB Gear Rambler Jogging Stroller Smooth Ride Suspension Easy Fold XL Canopy Coverage Black New Logo"
"UPPAbaby","0320-VIS-US-BRY/1017-MSA-US-BRY","White",,,"UPPAbaby Vista V2 Stroller"
"BRITAX","U741957","Vibe",,,"Britax B-Free"
"Dream On Me","446-PUR","Purple",,,"Dream On Me Volgo Twin Umbrella Stroller"
"Baby Jogger","2083081","Jet",,,"Baby Jogger City Select Stroller"
"Evenflo","57112255A","Stallion Black",,,"Pivot Xpand with"
"Joovy","8109","Charcoal",,,"Joovy Scooter X2 Double Stroller"
"Summer Infant","32753","Matte Gray",,,"Summer"
"BRITAX","U931935","Cool Flow Grey",,,"Britax B-Free"
"UPPAbaby","0320-VIS-US-ALC","Pink",,,"UPPAbaby VISTA V2 Stroller"
"Chicco","06079639950070","Black",,,"Chicco Viaro Travel System"
"Baby Jogger","2083995","City Mini GT2",,,"Baby Jogger"
"BOB Gear","U221947","Graphite Black",,,"BOB Gear Revolution Flex 3.0"
"Cosco","US119AOY","Dots",,,"Umbrella Stroller with Canopy"
"Baby Trend","SS76B72A","Pink",,,"Baby Trend Sit Stand Double"
"Summer Infant","32900","Black/Black",,"Baby Product","Stroller Black with"
"Baby Trend","TJ94068","Phantom",,"Baby Product","Baby Trend Travel System"
"Baby Trend","TJ75B13A","Rose",,,"Baby Trend Travel System"
"Summer Infant","32863","3Dpac CS",,"Baby Product","Stroller Black with"
"Graco",,,,,
"Joovy","849285080693","Charcoal",,,"Joovy Zoom 360 Ultralight Jogging Stroller"
"Chicco","07079095190070","Papyrus",,,"Chicco Bravo Trio Travel System"
"Summer Infant","32773","Matte Black/Blue",,,"Summer"
"Thule","10101944","Cypress Green",,,"Thule Urban Glide 2"
"Baby Jogger","2111986","Slate",,,"Baby Jogger City Mini GT2"
"Baby Trend","TJ75B74B","Optic Teal",,,"Baby Trend Travel System"
"Summer Infant","32883","Pink/Black",,,"Summer Infant Convenience Stroller"
"WONDERFOLD","W4","Navy",,,"WONDERFOLD W4 4 Seater Multi-Function Quad Stroller Wagon with Removable Raised Seats and Slidable Canopy"
"Delta Children","12198-2012","Grey Tweed",,,
"Baby Jogger","2082768","Slate",,,"Baby Jogger City Mini GT2"
"gb","616230037","Monument Black",,,"Pockit"
